orcid,pmid,pmc,doi,wosuid,eid,dnb,article_qID,all_authors_qID
0000-0003-2760-1191,27899851.0,PMC5126442,nan,nan,nan,nan,Q37448620,['Q83234445']
0000-0002-4050-6191,29146482.0,nan,10.1016/j.rec.2017.10.005,nan,nan,nan,Q47176306,
0000-0001-7526-5191,21033872.0,nan,10.1063/1.3475729,nan,nan,nan,Q82227134,"['Q57037275', 'Q82227128']"
0000-0001-7526-5191,19044531.0,nan,10.1063/1.2973326,nan,nan,nan,Q82778227,"['Q57037275', 'Q82227128']"
0000-0002-7871-5191,28338018.0,PMC5364489,10.1038/srep45089,nan,nan,nan,Q42129196,"['Q57212955', 'Q59701610', 'Q87372245']"
0000-0002-7871-5191,27485329.0,nan,10.1007/978-1-4939-3637-3_4,nan,nan,nan,Q36093243,['Q87372245']
0000-0002-7871-5191,28088302.0,nan,10.1016/j.phytochem.2016.11.013,nan,nan,nan,Q48870880,"['Q39971550', 'Q40012058', 'Q49754007', 'Q57004602', 'Q57200258', 'Q87372245', 'Q88567790']"
0000-0002-7871-5191,27515297.0,nan,10.1002/pro.3011,nan,nan,nan,Q42676545,['Q87372245']
0000-0002-7871-5191,28204885.0,nan,10.1007/s00253-016-8076-5,nan,nan,nan,Q38958683,"['Q39971550', 'Q57200444', 'Q59557925', 'Q87372245', 'Q88567790']"
0000-0002-7871-5191,26917044.0,nan,nan,nan,nan,nan,Q39967185,"['Q61135613', 'Q87372245']"
0000-0002-7871-5191,27142225.0,nan,nan,nan,nan,nan,Q28603328,"['Q56936403', 'Q59557925', 'Q87372245']"
0000-0002-7871-5191,27748524.0,nan,10.1002/bit.26203,nan,nan,nan,Q36164921,"['Q39971550', 'Q59557925', 'Q87372245', 'Q88567790']"
0000-0002-7871-5191,28372360.0,nan,10.1021/acssynbio.6b00288,nan,nan,nan,Q36332998,"['Q53014238', 'Q87372245']"
0000-0001-9154-8191,nan,PMC4079639,nan,nan,nan,nan,Q54919971,['Q55437068']
0000-0001-9154-8191,26093915.0,PMC4491368,10.1007/s10482-015-0502-7,nan,nan,nan,Q35669603,"['Q45926094', 'Q55437068']"
0000-0001-9154-8191,26026797.0,PMC4491342,10.1007/s10482-015-0496-1,nan,nan,nan,Q30961741,"['Q6830677', 'Q42747823', 'Q55437068']"
0000-0001-9154-8191,26864807.0,nan,10.1111/jam.13093,nan,nan,nan,Q49970444,"['Q55437068', 'Q83004570', 'Q87071030']"
0000-0001-9154-8191,27103501.0,nan,10.1016/j.jmii.2016.03.002,nan,nan,nan,Q50229278,"['Q55437068', 'Q83004570', 'Q87071030']"
0000-0001-9154-8191,25158833.0,nan,10.1007/s00253-014-5953-7,nan,nan,nan,Q38243437,"['Q45926094', 'Q55437068']"
0000-0002-8639-5191,20859455.0,PMC2943220,10.2147/ppa.s12121,nan,nan,nan,Q34144355,['Q48654526']
0000-0002-8639-5191,nan,PMC6136637,10.3390/tropicalmed3010010,nan,nan,nan,Q58476328,"['Q39755553', 'Q48654526', 'Q55303062', 'Q56809303', 'Q56993634', 'Q78730110']"
0000-0002-8639-5191,16903877.0,nan,10.1111/j.1365-3156.2006.01683.x,nan,nan,nan,Q58476489,['Q48654526']
0000-0002-8639-5191,30133511.0,PMC6104988,10.1371/journal.pone.0202490,nan,nan,nan,Q56669734,"['Q48654526', 'Q57865557', 'Q57871045', 'Q61822866', 'Q87729345']"
0000-0002-8639-5191,29534061.0,nan,10.1371/journal.pntd.0006250,nan,nan,nan,Q51740777,"['Q37383333', 'Q48654526', 'Q63100920', 'Q88040644']"
0000-0002-8639-5191,26010494.0,nan,10.1111/dme.12811,nan,nan,nan,Q40902717,"['Q73556800', 'Q73557011']"
0000-0002-8639-5191,26843515.0,nan,10.1093/heapol/czv134,nan,nan,nan,Q38912316,"['Q48654526', 'Q56761257', 'Q78730110']"
0000-0002-8639-5191,26207059.0,nan,10.2337/dc15-0505,nan,nan,nan,Q48154610,"['Q39452608', 'Q48654526']"
0000-0002-8639-5191,28588991.0,PMC5321382,10.1136/bmjgh-2016-000033,nan,nan,nan,Q37659959,"['Q39452608', 'Q48654526']"
0000-0002-8639-5191,16110075.0,PMC1188116,10.1136/bmj.331.7514.446,nan,nan,nan,Q33920490,"['Q48654526', 'Q87840199']"
0000-0002-8639-5191,28629430.0,PMC5477154,10.1186/s12889-017-4494-2,nan,nan,nan,Q33814526,['Q48654526']
0000-0002-8639-5191,30012123.0,PMC6048803,10.1186/s12889-018-5794-x,nan,nan,nan,Q58476319,"['Q48654526', 'Q89118111']"
0000-0002-8639-5191,27286969.0,nan,10.1016/s1473-3099(16)30124-4,nan,nan,nan,Q39304332,"['Q48654526', 'Q55303062']"
0000-0002-8639-5191,29627167.0,nan,10.1016/s0140-6736(18)30667-6,nan,nan,nan,Q52601077,"['Q48654526', 'Q56841622']"
0000-0002-8639-5191,27004127.0,PMC4797177,10.1186/s40608-016-0099-z,nan,nan,nan,Q30385949,"['Q48654526', 'Q57320964', 'Q86489708']"
0000-0002-8639-5191,29661245.0,PMC5902919,10.1186/s12936-018-2319-0,nan,nan,nan,Q52585054,"['Q47805492', 'Q48654526', 'Q55173004', 'Q86868973', 'Q89269942']"
0000-0002-8639-5191,29995899.0,PMC6040718,10.1371/journal.pone.0200265,nan,nan,nan,Q57927756,"['Q48654526', 'Q56761257', 'Q78730110']"
0000-0002-8639-5191,26498705.0,nan,10.1016/s0140-6736(15)00552-8,nan,nan,nan,Q39304344,"['Q48654526', 'Q78730110']"
0000-0002-8639-5191,30187582.0,nan,10.1002/hpm.2637,nan,nan,nan,Q57927517,"['Q48654526', 'Q57945490', 'Q78730110']"
0000-0002-8639-5191,27872120.0,PMC5128946,10.1136/bmjopen-2016-012776,nan,nan,nan,Q37454453,"['Q48654526', 'Q55173004', 'Q59441658', 'Q86868973']"
0000-0002-8639-5191,25687131.0,nan,10.1093/pubmed/fdv009,nan,nan,nan,Q39452386,"['Q39452608', 'Q48654526']"
0000-0002-8639-5191,27102018.0,PMC4843818,10.1016/j.gheart.2015.12.016,nan,nan,nan,Q30378577,
0000-0002-8639-5191,30265362.0,nan,10.1093/trstmh/try098,nan,nan,nan,Q59351696,"['Q59830953', 'Q70112908']"
0000-0002-8639-5191,16158901.0,nan,nan,nan,nan,nan,Q36256011,['Q48654526']
0000-0002-8639-5191,27798018.0,PMC5073594,10.1136/bmjopen-2016-012723,nan,nan,nan,Q30380624,"['Q39452608', 'Q43042749', 'Q48654526', 'Q57053252']"
0000-0002-8639-5191,29420196.0,nan,10.1136/bmjspcare-2017-001439,nan,nan,nan,Q50107518,"['Q48654526', 'Q57865557', 'Q57871045', 'Q87729345']"
0000-0002-8639-5191,18769086.0,nan,nan,nan,nan,nan,Q46810522,
0000-0002-8639-5191,29627160.0,nan,10.1016/s0140-6736(18)30482-3,nan,nan,nan,Q52329078,"['Q48654526', 'Q78730110']"
0000-0002-8639-5191,25500745.0,nan,10.1093/heapol/czu123,nan,nan,nan,Q39337293,"['Q45901785', 'Q48654526', 'Q81657259']"
0000-0002-8639-5191,29961005.0,PMC6042538,10.1136/bmjopen-2017-020113,nan,nan,nan,Q55689918,"['Q48654526', 'Q56993634', 'Q78730110']"
0000-0002-8639-5191,26649173.0,PMC4672835,10.7189/jogh.05.020406,nan,nan,nan,Q36355051,"['Q39452608', 'Q48654526']"
0000-0002-0984-0191,nan,nan,10.1038/ncomms10157,nan,2-s2.0-84950349933,nan,Q28602983,"['Q30106728', 'Q42640001', 'Q43111390', 'Q43113941']"
0000-0002-0984-0191,nan,nan,10.1039/c4ja00124a,nan,2-s2.0-84905757277,nan,Q56836558,"['Q30106728', 'Q42640001', 'Q43113941', 'Q56855412']"
0000-0002-9248-8191,27485324.0,PMC4969652,nan,nan,nan,nan,Q36093238,['Q57613120']
0000-0002-9248-8191,21526689.0,nan,10.7861/clinmedicine.11-2-114,nan,nan,nan,Q83989581,"['Q57613120', 'Q88007773']"
0000-0002-9248-8191,23385474.0,nan,10.3275/8815,nan,nan,nan,Q45978153,['Q43662692']
0000-0002-9248-8191,25430399.0,nan,10.1530/EJE-14-0719,nan,nan,nan,Q86070416,['Q57613120']
0000-0002-9248-8191,23159838.0,nan,10.1093/qjmed/hcs206,nan,nan,nan,Q51348772,['Q57613120']
0000-0002-9248-8191,21076888.0,nan,10.1007/s11845-010-0641-9,nan,nan,nan,Q37809487,"['Q43662692', 'Q57613120']"
0000-0002-7599-5191,26860065.0,PMC4748261,10.1038/srep20922,nan,nan,nan,Q36565065,"['Q42713544', 'Q42798968', 'Q57428127', 'Q59149205', 'Q59681546']"
0000-0002-7599-5191,18590987.0,nan,10.1016/j.actbio.2008.05.015,nan,nan,nan,Q46509733,['Q57428127']
0000-0002-7599-5191,27566484.0,nan,10.1016/j.drudis.2016.08.007,nan,nan,nan,Q50490654,"['Q57428127', 'Q82618374']"
0000-0002-7599-5191,27353654.0,nan,10.2217/nnm.16.47,nan,nan,nan,Q50501989,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,25952265.0,nan,10.1002/jbm.b.33445,nan,nan,nan,Q50587983,"['Q42798968', 'Q56417113', 'Q57428127']"
0000-0002-7599-5191,22090283.0,PMC3243399,10.1098/rsif.2011.0438,nan,nan,nan,Q24625076,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,26767737.0,nan,10.1002/adhm.201500849,nan,nan,nan,Q47856563,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,24505025.0,nan,10.1002/adma.201304428,nan,nan,nan,Q34402980,"['Q39938799', 'Q42412761', 'Q42798968', 'Q50949715', 'Q57428127', 'Q60220126', 'Q60220127']"
0000-0002-7599-5191,20144751.0,nan,10.1016/j.actbio.2010.02.004,nan,nan,nan,Q43166974,"['Q42798968', 'Q43133122', 'Q43167025', 'Q57428127']"
0000-0002-7599-5191,19353617.0,nan,10.1002/jbm.a.32383,nan,nan,nan,Q46057307,"['Q43133122', 'Q53391229', 'Q57428127']"
0000-0002-7599-5191,20346411.0,nan,10.1016/j.drudis.2010.03.008,nan,nan,nan,Q34106922,"['Q42798968', 'Q57428127', 'Q60220196']"
0000-0002-7599-5191,23806976.0,nan,10.1016/j.drudis.2013.06.007,nan,nan,nan,Q38117522,"['Q42798968', 'Q57428127', 'Q60220126', 'Q60220127', 'Q60220165']"
0000-0002-7599-5191,20942484.0,nan,10.1021/bm100898p,nan,nan,nan,Q42819540,"['Q42798968', 'Q42816246', 'Q57428127']"
0000-0002-7599-5191,26318365.0,nan,10.1016/j.actbio.2015.08.035,nan,nan,nan,Q40595549,"['Q42632464', 'Q42643576', 'Q42798968', 'Q57428127', 'Q57972366', 'Q60220110', 'Q61832558', 'Q63089113']"
0000-0002-7599-5191,21276612.0,nan,10.1016/j.biomaterials.2011.01.018,nan,nan,nan,Q34161286,"['Q42798968', 'Q42834877', 'Q43235422', 'Q57428127']"
0000-0002-7599-5191,25970130.0,nan,10.1021/acs.bioconjchem.5b00091,nan,nan,nan,Q38477331,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,19154671.0,nan,10.1163/156856209X404505,nan,nan,nan,Q57971842,['Q57428127']
0000-0002-7599-5191,26174718.0,nan,10.1021/acs.bioconjchem.5b00342,nan,nan,nan,Q50577798,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,22522132.0,nan,10.1016/j.actbio.2012.04.017,nan,nan,nan,Q57971828,"['Q39938799', 'Q42798968', 'Q57428127']"
0000-0002-7599-5191,24654928.0,nan,10.1586/17434440.2014.900436,nan,nan,nan,Q38198109,"['Q42798968', 'Q57428127', 'Q60217036']"
0000-0002-7599-5191,22738778.0,nan,10.1016/j.biomaterials.2012.06.002,nan,nan,nan,Q57971827,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,26111642.0,nan,10.1586/17434440.2015.1062364,nan,nan,nan,Q38537935,"['Q42798968', 'Q55362930', 'Q57428127', 'Q57972366']"
0000-0002-7599-5191,25535812.0,nan,10.1089/ten.tec.2014.0387,nan,nan,nan,Q41655440,"['Q39938799', 'Q42798968', 'Q50949715', 'Q57428127', 'Q60220126', 'Q60220127']"
0000-0002-7599-5191,27478033.0,PMC4967872,10.1038/srep30746,nan,nan,nan,Q37141160,"['Q42713544', 'Q42798968', 'Q57428127', 'Q60220127', 'Q73267381', 'Q82618374', 'Q87241841']"
0000-0001-7580-8141,22426883.0,PMC3374311,10.1534/genetics.112.139667,nan,nan,nan,Q30515861,
0000-0002-7599-5191,27552808.0,nan,10.1007/s10856-016-5759-5,nan,nan,nan,Q48099869,"['Q37837572', 'Q57428127', 'Q87992788']"
0000-0002-7599-5191,25236302.0,nan,10.1016/j.addr.2014.09.005,nan,nan,nan,Q38252467,"['Q21264241', 'Q42798968', 'Q45740304', 'Q57428127', 'Q57972366', 'Q85337322']"
0000-0002-7599-5191,25499820.0,nan,10.1016/j.addr.2014.11.022,nan,nan,nan,Q38286878,"['Q42798968', 'Q57428127', 'Q57972366', 'Q59687877', 'Q87640650']"
0000-0002-7599-5191,25543005.0,nan,10.1016/j.addr.2014.11.023,nan,nan,nan,Q38301498,"['Q42798968', 'Q57428127', 'Q60220110', 'Q60220167', 'Q82618374']"
0000-0002-7599-5191,22278129.0,nan,10.1007/s10856-012-4557-y,nan,nan,nan,Q57971834,"['Q42798968', 'Q42816246', 'Q57428127']"
0000-0002-7599-5191,27028373.0,nan,10.1002/adma.201503986,nan,nan,nan,Q38888357,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,24474722.0,nan,10.1002/term.1852,nan,nan,nan,Q44475131,"['Q42798968', 'Q45740304', 'Q57428127', 'Q60220167']"
0000-0002-7599-5191,25736020.0,PMC4348624,10.1038/srep08729,nan,nan,nan,Q35144214,"['Q39938799', 'Q42798968', 'Q50949715', 'Q57428127', 'Q60220126', 'Q60220127']"
0000-0002-7599-5191,25816874.0,nan,10.2217/nnm.14.218,nan,nan,nan,Q53279965,"['Q42643576', 'Q42798968', 'Q53304595', 'Q57428127', 'Q57972366', 'Q60220127', 'Q61832558']"
0000-0002-7599-5191,25426354.0,PMC4236382,10.1097/gox.0000000000000203,nan,nan,nan,Q34536990,['Q57428127']
0000-0002-7599-5191,22552937.0,nan,10.1002/term.1522,nan,nan,nan,Q39354699,"['Q42798968', 'Q57428127', 'Q60220127']"
0000-0002-7599-5191,17957699.0,nan,10.1002/jbm.b.30952,nan,nan,nan,Q50879362,['Q57428127']
0000-0002-7599-5191,18854124.0,nan,10.1163/156856208786052344,nan,nan,nan,Q46317550,"['Q43133122', 'Q43167025', 'Q57428127']"
0000-0002-7599-5191,28071973.0,nan,10.1089/ten.tea.2016.0415,nan,nan,nan,Q39029493,['Q57428127']
0000-0002-7599-5191,25047627.0,nan,10.1016/j.biomaterials.2014.06.053,nan,nan,nan,Q53495606,"['Q42713544', 'Q42798968', 'Q56330918', 'Q57428127', 'Q59149205', 'Q87241841']"
0000-0002-7599-5191,26498484.0,nan,10.1002/bit.25869,nan,nan,nan,Q38615719,"['Q42713544', 'Q42798968', 'Q57428127', 'Q59149205', 'Q60220110', 'Q82618374']"
0000-0002-7599-5191,26977425.0,PMC4781899,10.1016/j.dib.2015.09.024,nan,nan,nan,Q31058272,"['Q42643576', 'Q42798968', 'Q57428127', 'Q57972366', 'Q60220110', 'Q61832558', 'Q63089113']"
0000-0002-7599-5191,25043371.0,nan,10.1016/j.tibtech.2014.06.009,nan,nan,nan,Q38231874,"['Q42798968', 'Q57428127', 'Q60220110', 'Q82618374']"
0000-0002-7599-5191,26541078.0,nan,10.1088/1748-6041/10/6/065005,nan,nan,nan,Q39283617,"['Q42798968', 'Q56417113', 'Q57428127']"
0000-0002-7599-5191,22105221.0,nan,10.1007/s10856-011-4471-8,nan,nan,nan,Q57971833,"['Q42798968', 'Q57428127', 'Q60220126', 'Q60220165', 'Q82618374']"
0000-0002-7599-5191,25517923.0,PMC4442559,10.1089/ten.teb.2014.0290,nan,nan,nan,Q35641614,"['Q42798968', 'Q57428127', 'Q60217036']"
0000-0002-7599-5191,18041730.0,nan,10.1002/jbm.a.31694,nan,nan,nan,Q50855875,
0000-0002-7599-5191,27074111.0,nan,10.2217/nnm.16.40,nan,nan,nan,Q50520621,"['Q42798968', 'Q57428127', 'Q57972366']"
0000-0002-7599-5191,23240852.0,PMC3665299,10.1089/ten.tea.2012.0721,nan,nan,nan,Q36880083,"['Q42798968', 'Q57428127', 'Q59681546']"
0000-0002-7599-5191,18465819.0,nan,10.1002/jbm.a.32031,nan,nan,nan,Q46605567,['Q57428127']
0000-0002-7599-5191,27092982.0,nan,10.2217/nnm.16.42,nan,nan,nan,Q50519344,"['Q42798968', 'Q57428127']"
0000-0002-7599-5191,26667589.0,nan,10.1002/adhm.201500004,nan,nan,nan,Q38669352,"['Q42798968', 'Q45740304', 'Q57428127', 'Q57972366', 'Q60217036', 'Q87640650']"
0000-0002-7599-5191,25157898.0,PMC4056691,10.1186/scrt426,nan,nan,nan,Q26865339,"['Q42713544', 'Q42798968', 'Q45740304', 'Q57428127', 'Q60220110']"
0000-0002-7599-5191,27411643.0,nan,10.1002/adma.201602226,nan,nan,nan,Q38842288,"['Q42798968', 'Q57428127']"